incident_id,stock_ticker,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,p_value_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,market_cap_at_disclosure,volume_ratio_disclosure,pre_incident_volatility_30d,post_incident_volatility_30d,days_to_price_recovery,notes,created_at,updated_at
2024-0107-001,CMM.SA,88.61,86.98,82.67,82.59,85.97,322000,1186135,S&P 500 Industrials,-0.007038,-0.049546,-0.05051,-0.011652,-0.057794,-0.05051,-0.011652,0.011537,-4.0269,0.0002,-0.4269,1.0,True,67622520282.55,3.6836,0.017888,0.035374,45,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1203-001,SAVE,292.13,282.32,272.48,273.39,277.5,2418972,5547207,S&P 500 Consumer Discretionary,0.001843,-0.034839,-0.031618,-0.017066,-0.04019,-0.031618,-0.017066,0.003751,-3.9218,0.0391,-1.1916,1.0,False,688104409153.04,2.2932,0.034434,0.049604,51,Thinly traded stock (avg volume < 100K); abnormal returns subject to higher noise,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0216-001,BEL1.L,89.63,88.44,83.01,85.0,84.22,1542787,5105751,S&P 500,0.012749,-0.061354,-0.03884,-0.047661,-0.055954,-0.03884,-0.047661,-0.031259,-8.2676,0.0002,-2.571,0.7145,False,35047091917.59,3.3094,0.022985,0.040315,276,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1202-001,MUNI.DE,8.96,8.94,8.54,8.81,8.96,1045477,2647005,S&P 500 Health Care,-0.00632,-0.044712,-0.014872,0.001871,-0.051419,-0.014872,0.001871,-0.006502,-3.7195,0.14025,0.3742,1.0,False,1924290259.57,2.5319,0.038065,0.063543,17,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0315-001,PORT.AX,81.14,76.8,74.11,73.61,73.6,80420,301598,S&P 500 Industrials,0.012774,-0.03509,-0.041592,-0.041634,-0.033648,-0.041592,-0.041634,-0.02097,-2.0949,0.95255,-2.5437,0.72815,False,40865092835.25,3.7503,0.020935,0.028989,249,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0920-001,OBC.TO,11.73,11.5,11.18,11.13,11.45,1619974,3024755,S&P 500 Industrials,-0.013264,-0.027637,-0.032172,-0.004185,-0.024408,-0.032172,-0.004185,-0.003292,-5.5274,0.0002,-0.1315,1.0,False,1177341674.31,1.8672,0.036355,0.063809,57,Analyst downgrade issued 45 days after disclosure; may amplify CAR,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0331-001,KOWA,152.44,146.84,137.84,140.57,143.29,7263232,15576359,S&P 500 Utilities,0.024826,-0.06131,-0.042705,-0.024143,-0.060779,-0.042705,-0.024143,-0.031756,-4.9885,0.0002,-3.8239,0.08805,False,85449789170.1,2.1445,0.020593,0.03258,164,Cross-listed on multiple exchanges; primary exchange data used for return calculation,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1117-001,LOGI.AX,145.58,137.59,133.08,132.1,134.88,8999002,16966077,S&P 500 Information Technology,-0.010507,-0.032788,-0.039921,-0.019729,-0.030872,-0.039921,-0.019729,-0.018697,-1.5589,1.0,-0.7397,1.0,False,18564022306.01,1.8853,0.038134,0.048078,7,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1104-001,DRD,44.9,46.85,43.47,42.36,43.88,3231806,4940093,S&P 500 Health Care,-0.008664,-0.072166,-0.095753,-0.063441,-0.085784,-0.095753,-0.063441,-0.043827,-8.7667,0.0002,-2.1406,0.9297,False,20082522956.24,1.5286,0.025072,0.032561,55,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1101-001,SCHN.VI,5.85,6.21,6.12,6.17,6.27,1054421,2132591,S&P 500 Consumer Discretionary,-0.014436,-0.014396,-0.006521,0.010252,-0.015389,-0.006521,0.010252,0.005469,-0.9801,1.0,0.3514,1.0,False,1455749472.33,2.0225,0.01424,0.024619,6,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0510-001,SANT.HK,66.53,64.68,61.45,60.89,62.18,111161,366675,S&P 500 Health Care,-0.012098,-0.049895,-0.058592,-0.038588,-0.04451,-0.058592,-0.038588,-0.048432,-2.5845,0.70775,-1.8124,1.0,False,42114867264.5,3.2986,0.038836,0.053322,356,CEO resignation announced 5 days post-disclosure; confounding event flagged,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0114-001,PROT,9.83,8.8,8.89,8.84,8.86,1712781,3815987,S&P 500 Information Technology,0.005806,0.009792,0.004857,0.00729,0.009782,0.004857,0.00729,0.016846,0.5419,1.0,0.6145,1.0,False,763529823.47,2.2279,0.011636,0.018214,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1111-001,BZE.L,342.25,334.5,325.37,317.44,319.45,980942,2466563,S&P 500 Industrials,-0.015117,-0.027285,-0.051009,-0.045003,-0.02999,-0.051009,-0.045003,-0.03124,-1.5964,1.0,-1.9542,1.0,False,436966118316.22,2.5145,0.011844,0.015348,101,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0101-001,BPS.SI,52.26,46.98,45.12,44.31,45.0,405825,1426415,S&P 500,0.028749,-0.039536,-0.056863,-0.042151,-0.048632,-0.056863,-0.042151,-0.031195,-1.8538,1.0,-2.7621,0.61895,False,28453857939.97,3.5149,0.022724,0.041768,226,Post-incident volatility spike consistent with uncertainty resolution over 14 trading days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0207-001,AUST.PH,536.23,544.28,531.69,538.41,544.33,175444,346941,S&P 500 Health Care,-0.011169,-0.023126,-0.010785,9.7e-05,-0.026547,-0.010785,9.7e-05,0.005315,-1.7443,1.0,0.0054,1.0,True,215135488408.31,1.9775,0.03206,0.039304,17,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0719-001,CARV.AS,7.65,6.9,6.83,6.71,6.76,3347952,6033029,S&P 500 Consumer Discretionary,0.021795,-0.010251,-0.028124,-0.019943,-0.011707,-0.028124,-0.019943,-0.02074,-0.5578,1.0,-1.0619,1.0,False,2361121526.79,1.802,0.015203,0.017588,22,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0831-001,NAS1,10.75,11.31,11.08,11.38,11.69,4004858,13316330,S&P 500 Financials,0.009579,-0.02015,0.006143,0.033373,-0.023537,0.006143,0.033373,0.008866,-3.509,0.2455,2.7994,0.6003,True,2247352726.7,3.325,0.014469,0.023387,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0829-001,COMP.TO,145.47,135.46,134.85,132.58,133.72,452743,1476931,S&P 500 Industrials,-0.017956,-0.0045,-0.021253,-0.012841,-0.004862,-0.021253,-0.012841,-0.02527,-0.2879,1.0,-0.86,1.0,False,95422001006.37,3.2622,0.032121,0.057081,60,Thinly traded stock (avg volume < 100K); abnormal returns subject to higher noise,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0606-001,SCF.T,90.76,85.91,80.61,84.68,83.1,392468,908922,S&P 500 Financials,0.010876,-0.061682,-0.014351,-0.032724,-0.068102,-0.014351,-0.032724,-0.01323,-3.7009,0.14955,-4.9537,0.0002,False,17980221918.77,2.3159,0.012508,0.023321,74,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1201-001,PHOE.PA,35.07,34.5,33.2,34.05,33.77,1955876,7591220,S&P 500,0.005169,-0.037695,-0.013108,-0.021259,-0.046102,-0.013108,-0.021259,-0.008891,-2.2591,0.87045,-1.7519,1.0,False,42137873369.88,3.8812,0.013497,0.016441,38,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0203-001,AERO.AX,55.31,55.38,54.99,55.85,56.03,291606,774568,S&P 500 Industrials,0.020447,-0.00696,0.008555,0.01182,-0.006405,0.008555,0.01182,0.020343,-0.798,1.0,0.4808,1.0,False,39844005078.88,2.6562,0.037334,0.062368,,Sector-wide sell-off during 30-day window (market correction),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0826-001,PHOE,607.83,581.88,568.19,574.32,586.68,953652,1848068,S&P 500 Financials,-0.008203,-0.023532,-0.012985,0.008255,-0.030238,-0.012985,0.008255,-0.004812,-2.3326,0.8337,0.5486,1.0,False,177420277839.77,1.9379,0.038461,0.053262,32,Sector-wide sell-off during 30-day window (market correction),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1101-001,PATH.KS,227.79,232.86,226.84,227.39,225.76,112111,275253,S&P 500 Health Care,-0.009843,-0.025865,-0.023481,-0.03051,-0.02627,-0.023481,-0.03051,-0.024943,-1.3895,1.0,-3.5956,0.2022,False,61262144425.88,2.4552,0.015411,0.027943,44,Post-incident volatility spike consistent with uncertainty resolution over 14 trading days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1231-001,COLE.TO,27.79,26.54,24.76,24.64,24.84,1174731,4666086,S&P 500 Health Care,0.024759,-0.06718,-0.071521,-0.064071,-0.072583,-0.071521,-0.064071,-0.055252,-3.291,0.3545,-3.3467,0.32665,False,11511359842.93,3.972,0.016112,0.021843,116,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1205-001,PUNE.NS,92.8,93.12,91.11,92.55,93.04,4361983,14325139,S&P 500 Consumer Discretionary,0.028664,-0.021588,-0.006077,-0.000867,-0.027316,-0.006077,-0.000867,0.005309,-1.0873,1.0,-0.0353,1.0,False,17718994291.17,3.2841,0.034046,0.046655,13,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0807-001,NETN.ST,66.39,62.66,62.67,61.75,63.53,1136152,2390975,S&P 500 Information Technology,0.014802,0.000232,-0.014501,0.013844,0.000283,-0.014501,0.013844,0.014013,0.0136,1.0,0.436,1.0,False,13125595307.17,2.1044,0.022656,0.027296,14,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0111-001,NHW.T,235.76,221.17,216.93,216.46,218.5,401507,1295560,S&P 500 Industrials,0.028547,-0.019157,-0.021284,-0.012051,-0.016151,-0.021284,-0.012051,-0.020757,-1.0507,1.0,-0.4343,1.0,False,111002837379.62,3.2267,0.038292,0.059136,20,Earnings announcement within event window may confound abnormal returns,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1015-001,SUIT.L,37.48,36.96,34.56,35.55,36.63,3715736,7693264,S&P 500 Consumer Discretionary,-0.012419,-0.064886,-0.038271,-0.008796,-0.077921,-0.038271,-0.008796,-0.008812,-11.6995,0.0002,-0.3663,1.0,False,19388175947.52,2.0705,0.020853,0.023497,14,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0205-001,CRH,11.44,11.48,11.16,11.13,11.51,3824928,8598453,S&P 500 Consumer Discretionary,0.013276,-0.028195,-0.030427,0.002771,-0.031958,-0.030427,0.002771,0.005323,-3.214,0.393,0.111,1.0,False,7068187170.4,2.248,0.013157,0.020588,17,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0314-001,VTL.TO,143.61,131.45,132.53,133.83,133.92,1210954,3809220,S&P 500 Health Care,0.017528,0.008207,0.018103,0.01879,0.008748,0.018103,0.01879,0.009294,0.4377,1.0,0.7788,1.0,False,85953577543.07,3.1456,0.027387,0.032212,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0608-001,PRIM.PA,8.88,8.87,8.87,8.77,8.7,1828563,6100937,S&P 500 Consumer Discretionary,-0.008486,-0.00054,-0.011413,-0.018935,-0.000689,-0.011413,-0.018935,-0.000471,-0.0327,1.0,-0.8842,1.0,False,635423632.73,3.3365,0.020885,0.024359,6,Analyst downgrade issued 21 days after disclosure; may amplify CAR,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1118-001,LAND.MX,50.31,46.55,44.49,44.44,45.65,800554,1305734,S&P 500 Real Estate,0.02485,-0.044261,-0.045247,-0.019268,-0.035512,-0.045247,-0.019268,-0.005514,-2.2852,0.8574,-1.1574,1.0,False,28221464268.82,1.631,0.012742,0.018852,5,Cross-listed on multiple exchanges; primary exchange data used for return calculation,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0711-001,SHOP.NS,42.82,41.64,40.02,39.65,41.49,7257598,28141575,S&P 500 Consumer Discretionary,-0.00993,-0.038799,-0.047723,-0.003488,-0.038015,-0.047723,-0.003488,-0.00314,-2.5075,0.74625,-0.3387,1.0,True,19783379178.44,3.8775,0.014676,0.028741,35,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0828-001,LAMB,357.85,348.02,329.08,335.89,353.0,297646,729377,S&P 500 Financials,0.008642,-0.054431,-0.034865,0.014299,-0.0636,-0.034865,0.014299,0.011003,-3.2344,0.3828,0.5224,1.0,False,356055476699.05,2.4505,0.033138,0.060237,55,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0317-001,OKON.L,137.05,135.14,126.31,124.28,135.73,1980745,5390415,S&P 500 Consumer Discretionary,0.019761,-0.065307,-0.080396,0.00437,-0.06919,-0.080396,0.00437,0.01165,-4.1753,0.0002,0.2729,1.0,False,128872957005.83,2.7214,0.03897,0.074349,16,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0718-002,FJP.L,7.83,7.58,7.0,6.8,7.32,726044,1264926,S&P 500 Health Care,-0.014962,-0.076351,-0.102662,-0.034793,-0.061602,-0.102662,-0.034793,-0.009397,-6.951,0.0002,-1.1053,1.0,False,452899355.22,1.7422,0.033364,0.052581,220,Post-incident volatility spike consistent with uncertainty resolution over 14 trading days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1009-001,SNV.SW,296.79,284.88,275.09,276.06,277.76,5178516,17677093,S&P 500 Information Technology,-0.019376,-0.034364,-0.030956,-0.024987,-0.035563,-0.030956,-0.024987,-0.008849,-2.0099,0.99505,-0.8751,1.0,False,301021116573.58,3.4135,0.023319,0.039184,36,Cross-listed on multiple exchanges; primary exchange data used for return calculation,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1230-001,NEWC.AX,8.64,8.06,7.94,7.76,7.8,2001524,6134434,S&P 500 Information Technology,0.023441,-0.014891,-0.03737,-0.032656,-0.019007,-0.03737,-0.032656,-0.026464,-1.0752,1.0,-2.0417,0.97915,False,3841807928.89,3.0649,0.039802,0.061751,341,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0203-001,PITT,72.37,71.54,68.0,66.81,67.74,73310,215987,S&P 500 Industrials,0.024689,-0.049425,-0.066141,-0.053122,-0.043114,-0.066141,-0.053122,-0.02769,-3.5094,0.2453,-10.3555,0.0002,False,42578197299.8,2.9462,0.010426,0.019881,105,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0220-001,SPAR.T,14.89,15.05,14.47,14.42,14.52,8426981,32431061,S&P 500 Utilities,-0.017421,-0.038499,-0.04157,-0.03521,-0.038314,-0.04157,-0.03521,-0.032384,-2.2807,0.85965,-1.9507,1.0,False,5653738417.22,3.8485,0.031301,0.03799,90,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1118-001,ERIK,13.83,13.17,12.14,12.04,11.86,680928,2260244,S&P 500 Health Care,-0.009152,-0.078387,-0.085559,-0.09956,-0.099546,-0.085559,-0.09956,-0.049254,-4.0342,0.0002,-5.5761,0.0002,False,2221743056.12,3.3194,0.01883,0.033342,283,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1219-001,MONR.PA,34.09,32.91,32.23,32.13,31.96,1774448,4437028,S&P 500 Consumer Discretionary,0.002622,-0.020654,-0.023613,-0.028905,-0.017232,-0.023613,-0.028905,-0.009782,-0.9716,1.0,-1.7154,1.0,False,5001037143.19,2.5005,0.023829,0.02851,86,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1002-001,RESE.NS,13.21,11.66,11.43,11.56,11.94,5288540,8182012,S&P 500 Financials,-0.017014,-0.01982,-0.008845,0.024011,-0.019647,-0.008845,0.024011,0.003644,-2.0501,0.97495,0.8551,1.0,False,2029184633.26,1.5471,0.029812,0.033633,53,Post-incident volatility spike consistent with uncertainty resolution over 14 trading days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1217-001,PNL,11.34,11.13,10.98,11.06,11.05,4086077,8621918,S&P 500 Industrials,-0.006541,-0.013612,-0.006031,-0.007276,-0.012544,-0.006031,-0.007276,-0.011614,-1.9407,1.0,-0.3078,1.0,False,2714516876.86,2.1101,0.017231,0.030318,31,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0302-001,SGF.TO,55.19,54.85,53.78,54.23,54.36,370906,771385,S&P 500 Industrials,0.012847,-0.019477,-0.011375,-0.009024,-0.018426,-0.011375,-0.009024,0.006099,-1.7773,1.0,-0.6382,1.0,False,37232866639.79,2.0797,0.012896,0.01549,53,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0412-001,SYNC,384.56,385.27,374.52,369.95,372.09,952508,2396345,S&P 500 Information Technology,-0.001171,-0.027914,-0.039759,-0.034209,-0.026219,-0.039759,-0.034209,-0.008958,-2.765,0.6175,-1.7387,1.0,False,239922897016.51,2.5158,0.031827,0.062264,309,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0609-001,JCS.AX,11.65,11.74,11.84,12.04,12.38,1146928,4229115,S&P 500 Communication Services,0.011612,0.008846,0.025921,0.054253,0.010397,0.025921,0.054253,0.028468,0.3479,1.0,2.3531,0.82345,False,787576935.46,3.6873,0.032086,0.060444,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0129-001,AMST.AS,62.58,60.46,60.41,60.65,61.62,376191,640723,S&P 500,0.019437,-0.000818,0.003218,0.019133,-0.000951,0.003218,0.019133,0.022537,-0.099,1.0,2.9118,0.5441,True,18531358972.47,1.7032,0.032675,0.039846,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0510-001,SNV.SW,645.48,632.61,609.7,617.52,636.83,21908620,74656699,S&P 500 Information Technology,0.013422,-0.036212,-0.023851,0.006667,-0.030705,-0.023851,0.006667,0.013122,-1.7387,1.0,0.2282,1.0,False,356425347558.88,3.4076,0.034594,0.060793,32,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1209-001,TBL,9.38,9.19,8.67,8.65,9.01,478373,897412,S&P 500 Health Care,0.006586,-0.056546,-0.058674,-0.019761,-0.054768,-0.058674,-0.019761,-0.015244,-3.1486,0.4257,-0.5836,1.0,True,4734557506.24,1.876,0.02365,0.027048,23,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0126-001,OKON.PA,14.15,14.29,14.21,14.14,13.98,424173,1542127,S&P 500 Consumer Discretionary,-0.006951,-0.005854,-0.010298,-0.02152,-0.005397,-0.010298,-0.02152,-0.023522,-0.3574,1.0,-3.2285,0.38575,False,806626238.67,3.6356,0.032406,0.058346,171,Company share buyback program active during post-incident window,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0629-001,NSI,11.33,10.56,10.35,10.62,10.74,937190,1873876,S&P 500 Industrials,-0.008034,-0.019547,0.006136,0.016858,-0.016934,0.006136,0.016858,-0.012942,-1.9349,1.0,1.064,1.0,False,691713135.04,1.9995,0.02331,0.030715,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0816-001,SEC,52.51,54.12,53.4,52.97,54.13,901782,1904320,S&P 500,0.006886,-0.013358,-0.021282,0.000167,-0.016011,-0.021282,0.000167,0.017525,-1.2333,1.0,0.0071,1.0,False,39308094352.43,2.1117,0.015323,0.030362,22,Low pre-incident trading volume reduces baseline reliability; interpret with caution,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1225-001,ATL2,13.44,12.06,11.74,11.97,12.18,422338,1563221,S&P 500 Industrials,0.001547,-0.0262,-0.007321,0.010159,-0.03064,-0.007321,0.010159,-0.009406,-2.1349,0.93255,0.7174,1.0,False,1610312156.81,3.7014,0.030778,0.056576,32,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0713-001,LIND.TO,675.9,698.93,659.06,659.12,682.22,9776689,34076523,S&P 500 Health Care,0.017397,-0.057044,-0.056958,-0.023902,-0.073573,-0.056958,-0.023902,-0.002025,-3.3787,0.31065,-1.6007,1.0,False,189750259613.78,3.4855,0.010351,0.015865,206,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0727-001,CIRC.DE,6.33,5.78,5.65,5.68,5.85,9146630,16960331,S&P 500 Information Technology,0.028584,-0.022619,-0.016938,0.011859,-0.025792,-0.016938,0.011859,-0.002054,-1.5291,1.0,1.1585,1.0,False,6094842197.28,1.8543,0.026886,0.042413,8,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0629-002,MELB.AX,279.8,260.1,245.79,257.8,260.09,953481,3807494,S&P 500 Financials,-0.008931,-0.055034,-0.00884,-5.5e-05,-0.066763,-0.00884,-5.5e-05,0.00423,-2.5851,0.70745,-0.0055,1.0,False,237654098220.62,3.9933,0.030027,0.034167,11,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1029-001,VTL.TO,126.96,115.28,110.75,109.99,112.04,1168988,3545005,S&P 500 Health Care,0.015702,-0.039275,-0.045904,-0.028099,-0.032308,-0.045904,-0.028099,8e-05,-2.2263,0.88685,-1.1269,1.0,False,91215023920.57,3.0325,0.029788,0.057304,199,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
