incident_id,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,notes,created_at,updated_at
2025-1022-001,8439272.35,estimated,841285.02,,,2923220.19,1376870.6,,2374517.47,12739363.14,estimated,10206301.99,19515804.9,12739363.14,CPI-U 2025 (321.5),Regulatory fine imposed under GDPR Article 83(5)(a) by EDPS,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0722-001,1000000.0,estimated,,,,1125209.45,212641.06,,390215.02,2337850.51,estimated,1897573.28,4124838.62,2388442.4,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0219-001,22214980.08,disclosed,2428507.3,,,12952138.1,7518454.67,,,42685572.85,disclosed,33216967.31,60139379.74,46892797.56,CPI-U 2022 (292.655),Regulatory fine imposed under GDPR Article 83(5)(a) by PDPC,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0718-001,6655022.88,estimated,,,,2808024.17,346262.24,,,9809309.29,estimated,6817200.09,16778126.12,10021586.12,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0825-001,19500000.0,estimated,,,,6627406.97,6729108.0,,17293743.72,32856514.97,disclosed,27646430.92,46978117.08,32856514.97,CPI-U 2025 (321.5),Business interruption losses estimated from quarterly revenue delta,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0601-001,2061300.54,calculated,,,,1452428.45,368696.28,,1122690.29,3882425.27,estimated,3012528.81,6473576.21,4096460.56,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0706-001,6839661.26,calculated,,,,3118279.01,684374.16,,6076682.86,10642314.43,calculated,8033377.6,18225915.42,10872617.78,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0716-001,92156968.96,estimated,,,,63159811.4,21642636.55,,,176959416.91,estimated,141808220.16,269075344.82,194401095.27,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1227-001,116114353.03,calculated,,,,69036990.63,5891865.86,,,191043209.52,estimated,149535821.53,276629042.26,209873030.91,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1001-001,23400000.0,disclosed,404647.94,237079.86,insurance claim record,21340436.19,1235194.37,,,46212710.42,disclosed,39143955.42,65830193.48,54830373.84,CPI-U 2021 (270.97),Settlement includes class-action preliminary agreement of $9.9M,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1016-001,6575299.8,estimated,,,,3721539.77,436407.51,,,10733247.08,estimated,7767886.29,13129802.77,12734763.76,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0107-001,15844523.78,estimated,,,,12044598.64,1758096.45,,10239134.02,29647218.87,estimated,22489596.42,50176204.48,30288794.9,CPI-U 2024 (314.69),Cyber insurance policy sublimit of $11.6M applied; excess borne by company,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0913-001,4198928.35,calculated,,,,2496560.31,906663.76,124757.91,3507319.63,7726910.33,estimated,5532326.18,11857709.7,8152889.29,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1007-001,6983748.03,calculated,660069.54,475600.52,congressional testimony,7323925.36,1032725.03,,9538312.17,15815998.94,disclosed,10027785.57,26105813.56,17374873.69,CPI-U 2022 (292.655),Costs allocated across FY2022 and FY2023 per company 10-K,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1218-001,4237981.14,estimated,10240844.79,6596009.29,blockchain analysis,2621398.69,1366711.9,,1845241.56,14822101.02,estimated,11168848.05,22989599.78,16283014.05,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1203-001,90053977.84,estimated,,,,41399064.05,26181152.84,,35287361.79,157634194.73,disclosed,122351576.93,195793371.33,187029536.87,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0209-001,7069353.65,estimated,,,,7205616.21,424329.72,367106.99,8730878.79,15066406.57,calculated,9645907.08,18060878.59,16551399.13,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1111-001,9000000.0,disclosed,4054177.01,1816025.5,blockchain analysis,6310779.69,1160899.11,,4682585.27,18287704.3,estimated,11254433.22,29972684.94,19295892.16,CPI-U 2023 (304.702),Ransom negotiated down 49% from initial demand via third-party negotiator,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0901-001,3225642.15,estimated,,,,3503433.25,922421.38,,2752984.95,7651496.78,estimated,5383674.24,9536288.7,7651496.78,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1016-001,386961.71,calculated,,,,227835.89,103953.33,,266554.75,718750.93,estimated,595383.23,1016788.72,718750.93,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0129-001,2140482.73,disclosed,,,,2319068.97,483886.25,,2952448.34,4943437.95,disclosed,3891673.49,7898392.07,5215966.09,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1020-001,3644588.12,estimated,267396.79,,,3230270.69,388177.88,,1295633.78,7263036.69,estimated,5914500.24,12176617.8,7978904.5,CPI-U 2022 (292.655),Insurance claim partially denied; payout reflects negotiated settlement at 52% of claim,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0424-001,13893301.83,estimated,,,,6786101.75,3918781.97,,13347109.61,24598185.55,estimated,19554035.23,30356962.02,27022660.31,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0902-001,74754449.46,calculated,,,,84202280.68,12784318.56,1429526.71,,173170575.41,estimated,129431707.13,218167231.96,182717343.48,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1124-001,15400000.0,disclosed,,,,12217203.27,4975847.62,,8710578.67,32593050.89,disclosed,19659716.01,39367576.67,38670944.61,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0216-001,6600000.0,estimated,,,,7810520.87,2001812.7,5640788.44,,22053122.01,calculated,15647587.66,34124120.04,23268894.61,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1013-001,30702375.68,estimated,,,,27298599.33,5737118.9,,,63738093.91,estimated,51254807.94,108278677.76,67251928.74,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1202-001,5400000.0,calculated,208735.35,,,1856058.0,1785199.41,,3654172.91,9041257.41,estimated,7506870.85,11438832.38,9236913.33,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1210-002,345832.75,estimated,,,,262774.12,99962.99,,,708569.86,estimated,433464.05,990601.01,723903.56,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1009-001,24432332.49,estimated,,,,25869588.47,3428991.02,,,53730911.98,estimated,33217535.09,86506392.97,54893667.42,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0915-001,481806.12,estimated,,,,163557.03,153929.58,1454846.19,502066.22,2254138.92,disclosed,1655650.85,2603000.46,2302919.26,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1217-001,6400000.0,calculated,,,,4441014.62,1078617.46,,4967314.55,11919632.08,calculated,7558183.46,16736893.78,11919632.08,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1231-001,9944830.62,disclosed,93173.95,,,10655366.28,896669.47,,7135514.59,21496866.37,calculated,12955041.82,28059269.0,21496866.37,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0920-001,35492525.87,disclosed,,,,27083890.26,4764617.92,,30371489.08,67341034.05,estimated,54158270.32,106380063.69,68798317.22,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0515-001,800000.0,calculated,,,,842777.17,178269.0,,970489.13,1821046.17,estimated,1506954.57,2193416.29,1860454.24,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0103-001,2400000.0,calculated,,,,2046294.79,612886.4,333129.32,,5392310.51,estimated,4345198.58,7854356.6,5923793.64,CPI-U 2022 (292.655),Loss estimate based on Ponemon per-record cost methodology ($5.08/record),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0331-001,19800000.0,disclosed,,,,9059119.9,3997054.29,,10513415.45,32856174.19,disclosed,20674821.52,48746614.24,32856174.19,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0408-001,4247291.27,calculated,,,,2345523.96,495352.39,,3895904.72,7088167.62,estimated,5100503.79,10642877.76,7088167.62,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0330-001,6300000.0,disclosed,,,,6426212.39,1710844.41,,5208317.44,14437056.8,estimated,9147577.92,24985142.49,14749479.68,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0907-001,25006509.07,disclosed,,,,21312982.54,4729371.64,,,51048863.25,estimated,38804546.49,89517670.06,53863150.01,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0206-001,30797196.76,disclosed,,,,17115780.84,7328014.51,,,55240992.11,calculated,33539171.91,87352964.08,58286387.89,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1004-001,2360355.35,disclosed,1021440.2,,,1546686.27,233629.98,,1404428.98,4140671.6,disclosed,2756631.7,5898202.84,4368943.82,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1222-001,3877904.76,calculated,,,,2902829.57,625967.99,,1408099.65,7406702.32,disclosed,5833832.76,9221026.54,7406702.32,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0402-001,2512082.13,disclosed,17697145.58,6335720.87,FBI disclosure,2067366.52,646171.39,,2797789.13,11561340.91,estimated,7655695.25,17052370.69,11811532.31,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1117-001,123087808.4,calculated,,,,54689029.46,25767353.1,,,203544190.96,calculated,149686700.91,294152159.68,203544190.96,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1020-002,9600000.0,estimated,,,,5972803.48,1801115.31,,,17373918.79,estimated,11148884.16,22017233.24,20613776.03,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1104-001,808837.02,estimated,,,,769383.95,232840.93,10854966.18,,12666028.08,estimated,10473714.81,19466422.12,13914431.76,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1101-001,3776275.28,estimated,,,,3151261.82,216237.26,6999057.78,1231863.7,14142832.14,estimated,11378516.32,18099931.36,14142832.14,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0510-001,7560418.83,disclosed,11885492.49,5412062.43,blockchain analysis,2865516.04,1244914.72,,,17082912.02,disclosed,12921192.64,22170684.71,17452592.12,CPI-U 2024 (314.69),Loss estimate based on Ponemon per-record cost methodology ($8.66/record),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0114-001,2176382.28,estimated,,,,1397970.32,313114.48,,,3887467.08,calculated,2909580.37,5797767.8,4270628.1,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0714-001,4735551.75,disclosed,,,,1884744.3,1648542.9,,3972865.43,8268838.95,estimated,6408033.52,12585037.95,8724694.04,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0704-001,1842117.79,disclosed,,,,748611.66,349018.12,,,2939747.57,estimated,1916223.62,4556462.32,2939747.57,CPI-U 2025 (321.5),Ransom negotiated down 34% from initial demand via third-party negotiator,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0228-001,4559340.39,estimated,,,,4648620.48,1442615.61,,,10650576.48,calculated,7137111.13,12463970.87,10650576.48,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1020-001,2302300000.0,disclosed,,,,766429415.2,382818304.72,,1054415587.27,3451547719.92,calculated,2108921512.13,5872051230.23,3451547719.92,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0222-001,1319540.63,disclosed,,,,954901.44,333380.33,,947246.82,2607822.4,estimated,1681382.4,4009471.88,2607822.4,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1111-001,26575137.16,estimated,,,,25056255.86,2181669.63,,16200910.23,53813062.65,disclosed,38489454.75,82541078.53,54977595.86,CPI-U 2024 (314.69),Insurance claim partially denied; payout reflects negotiated settlement at 42% of claim,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0101-001,4726093.11,estimated,,,,4445345.63,811989.09,,2363127.81,9983427.83,calculated,6337152.69,15085199.31,10199472.65,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0708-001,194413162.56,estimated,151652.92,35418.98,company statement,199857936.81,46133291.17,,177394031.77,440439809.52,disclosed,358016482.31,586049967.23,464720936.39,CPI-U 2023 (304.702),"Loss methodology: Monte Carlo simulation with 10,000 iterations (95th percentile)",2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0501-001,3974027.46,estimated,,,,2225109.64,1149259.78,,3050515.83,7348396.88,estimated,6165067.53,8915713.0,7348396.88,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1109-001,41600000.0,disclosed,,,,16630040.05,4379602.15,1140279.77,40547487.31,63749921.97,estimated,50511599.31,101996303.22,63749921.97,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0207-001,103400000.0,disclosed,,,,119813696.49,30543635.97,,,253757332.46,estimated,211572852.29,351021734.46,278768455.64,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0719-001,4800000.0,calculated,,,,4111367.4,589462.87,,4430529.09,9500830.27,disclosed,7849259.02,15994462.45,10437262.07,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1010-001,3600000.0,estimated,280237.72,,,2828701.96,416818.22,,,6845520.18,calculated,4580383.05,8734317.94,6993659.59,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0831-001,4409230.97,disclosed,1090423.82,240832.63,insurance claim record,1559485.68,401021.54,,1500714.51,6610570.82,estimated,4534150.88,11410941.48,6610570.82,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0829-001,16915495.31,estimated,,,,13157350.86,2350864.7,,,32423710.87,disclosed,24419117.28,49410463.45,38470026.37,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0303-001,9600000.0,estimated,,,,7880007.79,2368590.24,,9585437.26,19848598.03,estimated,14539922.91,29902005.49,20278128.53,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0606-001,255857877.36,estimated,,,,225799580.54,35479059.82,,,517136517.72,estimated,407783043.75,928850995.91,517136517.72,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1105-001,15000000.0,disclosed,,,,9653888.69,3242401.17,232137.59,4558811.89,28128427.45,calculated,16894261.75,37150341.11,29679127.23,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1201-001,6304926.26,calculated,,,,3911487.29,863502.9,,,11079916.45,disclosed,8071349.32,18261780.73,11690744.2,CPI-U 2023 (304.702),Regulatory fine reduced 59% on appeal based on demonstrated remediation,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0815-001,7670958.06,calculated,18630747.64,,,2773076.92,2269652.01,,6457355.58,12713686.99,calculated,10693049.22,16040258.16,13414583.32,CPI-U 2023 (304.702),Cyber insurance policy sublimit of $11.3M applied; excess borne by company,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0921-001,7350895.68,disclosed,937080.74,751012.77,blockchain analysis,2633380.24,2518139.35,,,13253428.04,calculated,11234471.45,16299004.96,13984079.9,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1025-001,44485827.3,calculated,,,,14610865.99,7968386.87,,20607730.93,67065080.16,disclosed,46548808.54,97162315.81,73675226.02,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0605-001,11992438.98,estimated,,,,3888066.94,3806434.52,149906.62,6410749.57,19836847.06,estimated,15181337.45,26005095.91,19836847.06,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0203-001,308563766.24,estimated,,,,168484591.51,67861962.7,,176364717.21,544910320.45,estimated,337389615.38,918408374.32,544910320.45,CPI-U 2025 (321.5),Legal fees reflect engagement of AmLaw 100 firm for class-action defense,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0128-001,4026988.08,estimated,,,,4156194.97,1092665.45,,1633007.67,9275848.5,calculated,7053337.83,14466628.37,9275848.5,CPI-U 2025 (321.5),Settlement includes class-action preliminary agreement of $6.6M,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1231-001,29510095.26,estimated,10725699.45,,,33465781.67,6052278.72,,35786585.58,69028155.65,estimated,49894841.38,122009539.84,70521948.72,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1205-001,4160912.25,disclosed,,,,4862210.62,1288445.84,2154745.56,,12466314.27,estimated,8367813.65,20434321.95,12736089.61,CPI-U 2024 (314.69),Costs allocated across FY2024 and FY2025 per company 10-K,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0807-001,4112918.03,estimated,,,,1300190.85,692945.06,1532898.78,2923936.12,7638952.72,estimated,6004688.22,12389177.51,8391872.0,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0111-001,5923862.87,disclosed,,,,6537512.72,1037512.67,,8362321.51,13498888.26,disclosed,9269565.46,21643906.67,14243072.17,CPI-U 2023 (304.702),Regulatory fine imposed under GDPR Article 83(5)(a) by OPC,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1015-001,3390233.09,estimated,,,,3252239.43,270500.84,,1513154.69,6912973.36,estimated,5614362.83,9923023.67,7594337.82,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0205-001,4800000.0,disclosed,,,,3650421.34,689643.48,,,9140064.82,estimated,5537557.95,15800499.24,9337858.97,CPI-U 2024 (314.69),"Loss methodology: Monte Carlo simulation with 10,000 iterations (95th percentile)",2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1231-001,44493085.45,estimated,,,,31585158.01,2659895.28,,,78738138.74,calculated,65386066.81,96627281.53,93421085.75,CPI-U 2021 (270.97),Ransom negotiated down 38% from initial demand via third-party negotiator,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0314-001,304474.42,estimated,,,,103898.16,76463.62,,94186.68,484836.2,estimated,310975.73,565378.48,484836.2,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0908-001,5352126.11,estimated,,,,2159974.85,364959.3,,3088483.12,7877060.26,calculated,5528699.44,10255391.27,8047522.56,CPI-U 2024 (314.69),Customer notification costs include credit monitoring for 12K affected individuals,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0314-001,57834427.45,estimated,,,,37926337.6,5025412.08,892431.82,45880151.11,101678608.95,estimated,85344376.97,137967456.61,111700373.4,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1229-001,62389614.91,estimated,,,,58538803.07,6703982.67,,,127632400.65,calculated,102374411.05,165123906.83,140212252.68,CPI-U 2022 (292.655),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0910-001,1800000.0,estimated,175437.05,,,1377956.2,113470.92,,2005123.4,3291427.12,estimated,2412953.68,4461717.98,3905206.55,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1222-001,2399249.1,estimated,1704032.56,493295.71,FBI disclosure,850394.8,344292.38,,,4087231.99,calculated,3223164.21,5527050.83,4312558.12,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0401-001,2822601.57,calculated,1130253.2,,,3064121.26,862165.88,,,6748888.71,estimated,4402363.5,8118339.5,6894936.99,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0918-001,1235374.24,estimated,,,,1061202.83,219687.47,,1389612.71,2516264.54,disclosed,1709185.54,3519099.38,2985493.04,CPI-U 2021 (270.97),Legal fees reflect engagement of AmLaw 100 firm for class-action defense,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0120-001,78022211.29,disclosed,1397414.98,804045.32,blockchain analysis,44863921.7,21170665.28,,,144860843.59,estimated,99760681.33,187822066.97,171874234.1,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1220-001,67000687.08,disclosed,,,,37654049.51,13890495.96,,18436574.74,118545232.55,estimated,80811457.3,206432070.63,118545232.55,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0803-001,12600000.0,estimated,6327660.97,4967068.35,congressional testimony,8679748.8,2084033.69,,,28330850.84,disclosed,17675151.59,45446058.72,33613937.13,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
